system   D            wsystem.c:583  maybe_parent_dir                 [   0.03975] Also searching D:\Iza\projekt\SNK\
display  D   display_settings.c:377  _al_score_display_settings       [   0.33920] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1640 d3d_create_display_internals     [   0.33927] Trying format 0.
d3d      I         d3d_disp.cpp:1325 d3d_display_thread_proc          [   0.34755] Chose a display format: 23
d3d      I         d3d_disp.cpp:1394 d3d_display_thread_proc          [   0.34767] Normal window.
d3d      I         d3d_disp.cpp:800  d3d_create_device                [   0.42930] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:865  d3d_create_device                [   0.65088] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:873  d3d_create_device                [   0.65097] Success
d3d      D         d3d_disp.cpp:1663 d3d_create_display_internals     [   0.65106] Resumed after wait.
d3d      I         d3d_disp.cpp:1696 d3d_create_display_internals     [   0.65116] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1719 d3d_create_display_internals     [   0.65124] Returning d3d_display: 002153E0
d3d      D         d3d_disp.cpp:1744 d3d_create_display_locked        [   0.65128] al_display=002153E0
d3d      D         d3d_disp.cpp:1745 d3d_create_display_locked        [   0.65132] al_display->vt=00215328
bitmap   W          bitmap_io.c:221  al_load_bitmap                   [   0.68204] Failed loading hd.png with .png handler.
bitmap   W          bitmap_io.c:221  al_load_bitmap                   [   0.68788] Failed loading sn.png with .png handler.
d3d      I         d3d_disp.cpp:920  d3d_destroy_display              [   3.84607] destroying display 002153E0 (current 00000000)
d3d      D         d3d_disp.cpp:904  d3d_destroy_display_internals    [   3.84670] waiting for display 002153E0's thread to end
d3d      W         d3d_disp.cpp:616  d3d_destroy_device               [   3.89685] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1522 d3d_display_thread_proc          [   3.91610] d3d display thread exits
